case,strategy1,strategy2,runs,wins1,wins2,win_rate1,win_rate2,avg_score1,avg_score2,max_length1,max_length2,avg_game_length
Classic Start,AggressiveAnticipationStrategy,AggressiveAnticipationStrategy,1000,739,261,0.739,0.261,84006.0,15994.0,7,7,173.5
Classic Start,AggressiveAnticipationStrategy,NoisyAdaptiveAggressiveStrategy,1000,427,573,0.427,0.573,40630.0,59370.0,8,7,185.4
Classic Start,AggressiveAnticipationStrategy,SafeFoodSeekingStrategy,1000,953,47,0.953,0.047,111292.0,-11292.0,7,7,147.2
Classic Start,AggressiveAnticipationStrategy,SuperiorAdaptiveStrategy,1000,495,505,0.495,0.505,48630.0,51370.0,7,8,201.6
Classic Start,NoisyAdaptiveAggressiveStrategy,AggressiveAnticipationStrategy,1000,582,418,0.582,0.418,60720.0,39280.0,8,7,185.2
Classic Start,NoisyAdaptiveAggressiveStrategy,NoisyAdaptiveAggressiveStrategy,1000,574,426,0.574,0.426,60050.0,39950.0,8,8,173.8
Classic Start,NoisyAdaptiveAggressiveStrategy,SafeFoodSeekingStrategy,1000,895,105,0.895,0.105,104246.0,-4246.0,7,7,150.3
Classic Start,NoisyAdaptiveAggressiveStrategy,SuperiorAdaptiveStrategy,1000,590,410,0.590,0.410,61724.0,38276.0,7,7,182.7
Classic Start,SafeFoodSeekingStrategy,AggressiveAnticipationStrategy,1000,42,958,0.042,0.958,-10424.0,110424.0,7,7,144.4
Classic Start,SafeFoodSeekingStrategy,NoisyAdaptiveAggressiveStrategy,1000,124,876,0.124,0.876,-912.0,100912.0,7,7,148.7
Classic Start,SafeFoodSeekingStrategy,SafeFoodSeekingStrategy,1000,662,338,0.662,0.338,72508.0,27492.0,7,7,203.1
Classic Start,SafeFoodSeekingStrategy,SuperiorAdaptiveStrategy,1000,12,988,0.012,0.988,-13472.0,113472.0,7,7,167.0
Classic Start,SuperiorAdaptiveStrategy,AggressiveAnticipationStrategy,1000,556,444,0.556,0.444,58040.0,41960.0,7,7,205.5
Classic Start,SuperiorAdaptiveStrategy,NoisyAdaptiveAggressiveStrategy,1000,482,518,0.482,0.518,49648.0,50352.0,8,8,191.0
Classic Start,SuperiorAdaptiveStrategy,SafeFoodSeekingStrategy,1000,964,36,0.964,0.036,110828.0,-10828.0,7,8,167.3
Classic Start,SuperiorAdaptiveStrategy,SuperiorAdaptiveStrategy,1000,596,404,0.596,0.404,60714.0,39286.0,8,7,230.5
"First Food Eaten; P2 at (26,13)",AggressiveAnticipationStrategy,AggressiveAnticipationStrategy,1000,801,199,0.801,0.199,84908.0,15092.0,7,7,166.4
"First Food Eaten; P2 at (26,13)",AggressiveAnticipationStrategy,NoisyAdaptiveAggressiveStrategy,1000,747,253,0.747,0.253,76346.0,23654.0,7,7,148.2
"First Food Eaten; P2 at (26,13)",AggressiveAnticipationStrategy,SafeFoodSeekingStrategy,1000,958,42,0.958,0.042,105550.0,-5550.0,7,7,124.2
